sku_dropship,sku_consign
P300047805,P200011052
P300047800,P200011063
P300047784,P200011190
P300047779,P200011048
P300047776,P200011057
P300047052,P200014534
P300046920,P200014538
P300046914,P200014540
P300044293,P200014542
P300044233,P200014546
P300043434,P200015526
P300043424,P200015518
P300043412,P200015510
P300043390,P200015494
P300043043,P200013105
P300043038,P200013108
P300043035,P200013109
P300039982,P200013112
P300039980,P200013118
P300039977,P200013114
P300039971,P200014550
P300039949,P200013120
P300039944,P200013121
P300037088,P200011045
P300036829,P200011096
P300036819,P200011104
P300034925,P200011119
P300034920,P200011163
P300032446,P200015659
P300032438,P200015653
P300032430,P200015663
P300032402,P200015671
P300031939,P200013103
P300031930,P200013099
P300031927,P200013098
P300031921,P200013102
P300031688,P200013095
P300027069,P200011124
P300026333,P200011172
P300010258,P200011419
P300010256,P200011443
P300010254,P200011383
P300010243,P200011448
P300010240,P200011437
P300010230,P200011407
P300010227,P200011431
P300010203,P200011396
P300010196,P200011377
P300010185,P200011425
P300010126,P200011413
P300009323,P200011401
P300009307,P200011390
P300009264,P200011370
P300007596,P200011132
P300007594,P200011127
300048358,200012746
300048346,200012774
300048345,200012740
300048344,200012776
300048343,200012739
300048342,200012785
300048341,200012775
300048340,200012738
300048339,200012773
300048338,200012737
300048337,200012786
300048332,200012772
300048294,200012719
300048292,200012715
300048291,200012716
300048243,200009456
300046590,200009464
300046570,200009466
300046569,200009467
300045983,200014558
300045968,200014554
300045966,200014557
300045965,200014553
300022377,200013131
300022375,200013130
300022362,200013126
300022361,200013128
300022360,200013129
300022357,200013127
300022261,200013761
300022260,200013768
300021199,200015389
300021147,200015414
300021146,200015417
300021145,200015416
300021144,200015415
300020880,200011506
300020879,200011507
300020878,200011505
300020877,200011503
300020876,200011504
300020875,200011508
300020874,200011512
300020873,200011513
300020872,200011511
300020871,200011509
300020870,200011510
300020869,200011502
300020861,200011501
300018930,200009460
300017931,200009470
300016935,200009458
300016933,200009457
300016932,200009468
300016931,200009469
300016921,200013365
300016920,200013366
300016913,200013362
300016912,200013364
300016910,200013363
300016905,200013359
300016712,200009462
300016711,200009463
300016710,200009455
300016708,200009459
300016707,200009461
300016703,200009454
300016699,200009472
300016695,200009473
300016694,200009471
300016690,200009474
300016576,200012642
300016575,200012673
300016431,200013442
300016423,200013405
300016335,200011576
300016334,200011577
300016327,200011575
300016320,200011573
300016319,200011574
300016256,200011546
300016254,200011545
300016253,200011543
300016252,200011544
300015813,200013368
300015798,200013370
300015796,200013371
300015786,200013372
300015289,200015766
300015230,200015746
300014511,200013160
300014492,200013159
300014490,200013158
300014471,200013161
300014467,200013162
300013388,200011526
300013387,200011527
300013386,200011525
300013384,200011524
300013383,200011528
300013382,200011532
300013380,200011531
300013379,200011529
300013378,200011530
300013377,200011523
300013376,200011516
300013371,200011517
300013370,200011521
300013369,200011522
300013368,200011520
300013367,200011518
300013366,200011519
300012963,200012075
300012959,200012074
300012934,200012072
300012925,200012073
300012892,200012077
300011937,200012071
300011583,200013157
300011581,200013156
300011266,200011463
300011264,200011464
300011090,200013147
300011089,200013148
300011088,200013149
300011085,200013151
300011083,200013150
300011081,200013145
300011078,200013144
300011071,200013146
300011068,200013152
300011065,200013153
300011061,200013154
300011060,200013155
300011045,200013133
300011044,200013132
300011040,200013135
300011039,200013136
300011036,200013134
300011018,200013142
300011013,200013143
300011010,200013138
300011009,200013137
300011006,200013139
300011002,200013140
300011001,200013141
300010945,200012069
300010935,200012070
300010930,200012059
300010929,200012058
300010910,200012066
300010909,200012068
300004308,200013125
300003572,200012036
300003563,200012033
300003561,200012045
300003553,200012043
300002940,200013778
300002937,200013775
300002936,200013780
300002933,200013779
300002932,200013774
300002930,200013772
300002928,200013787
300002927,200013786
300002925,200013769
300002924,200013764
300002923,200013763
300002922,200013762
300002716,200013760
300002714,200013765
300002711,200013783
300002709,200013782
300002708,200013759
300002615,200014606
300000834,200013124
300000830,200013123
300000309,200011112
300000102,200013122
300000058,200011117
300000048,200011118